"","Role","RevenueEntry","V1","structure","Role_en","Income_en"
"18","administrateur_gestionnaire","Salaire",6.18274871408191,"Health Zone Medical Team","Zone Administrator","Salary"
"45","infirmier_superviseur","Salaire",26.0864456253614,"Health Zone Medical Team","Supervising Nurse","Salary"
"72","medecin_chef_zone","Salaire",22.322486667367,"Health Zone Medical Team","Zone Medical Officer","Salary"
"16","administrateur_gestionnaire","Prime de Risque",21.2839650464122,"Health Zone Medical Team","Zone Administrator","Risk Allowance"
"43","infirmier_superviseur","Prime de Risque",30.5820530677331,"Health Zone Medical Team","Supervising Nurse","Risk Allowance"
"70","medecin_chef_zone","Prime de Risque",485.089838240625,"Health Zone Medical Team","Zone Medical Officer","Risk Allowance"
"15","administrateur_gestionnaire","Prime de Partenaire",34.1773582367539,"Health Zone Medical Team","Zone Administrator","Top-up"
"42","infirmier_superviseur","Prime de Partenaire",47.8371500940358,"Health Zone Medical Team","Supervising Nurse","Top-up"
"69","medecin_chef_zone","Prime de Partenaire",85.4604202688197,"Health Zone Medical Team","Zone Medical Officer","Top-up"
"14","administrateur_gestionnaire","Per Diem",20.6483884656284,"Health Zone Medical Team","Zone Administrator","Per Diem"
"41","infirmier_superviseur","Per Diem",35.0799122205362,"Health Zone Medical Team","Supervising Nurse","Per Diem"
"68","medecin_chef_zone","Per Diem",62.8540615448208,"Health Zone Medical Team","Zone Medical Officer","Per Diem"
"17","administrateur_gestionnaire","Prime Locale",44.9665816050699,"Health Zone Medical Team","Zone Administrator","User Fees"
"44","infirmier_superviseur","Prime Locale",31.1553130503236,"Health Zone Medical Team","Supervising Nurse","User Fees"
"71","medecin_chef_zone","Prime Locale",73.0202298691858,"Health Zone Medical Team","Zone Medical Officer","User Fees"
"12","administrateur_gestionnaire","Heures supplémentaires",0,"Health Zone Medical Team","Zone Administrator","Paid Overtime"
"39","infirmier_superviseur","Heures supplémentaires",0,"Health Zone Medical Team","Supervising Nurse","Paid Overtime"
"66","medecin_chef_zone","Heures supplémentaires",0,"Health Zone Medical Team","Zone Medical Officer","Paid Overtime"
"10","administrateur_gestionnaire","Activité  Privée",0,"Health Zone Medical Team","Zone Administrator","Private Practice"
"37","infirmier_superviseur","Activité  Privée",0,"Health Zone Medical Team","Supervising Nurse","Private Practice"
"64","medecin_chef_zone","Activité  Privée",0,"Health Zone Medical Team","Zone Medical Officer","Private Practice"
"11","administrateur_gestionnaire","Activité non santé",0,"Health Zone Medical Team","Zone Administrator","Non Health Activity"
"38","infirmier_superviseur","Activité non santé",0,"Health Zone Medical Team","Supervising Nurse","Non Health Activity"
"65","medecin_chef_zone","Activité non santé",0,"Health Zone Medical Team","Zone Medical Officer","Non Health Activity"
"13","administrateur_gestionnaire","Informel",8.40828982167087,"Health Zone Medical Team","Zone Administrator","Informal income"
"40","infirmier_superviseur","Informel",10.3908170259176,"Health Zone Medical Team","Supervising Nurse","Informal income"
"67","medecin_chef_zone","Informel",10.3164417529063,"Health Zone Medical Team","Zone Medical Officer","Informal income"
